title,score,comment,quote,year,country,category,link,cover
罗生门,8.8,227309,人生的N种可能性。,1950,日本,剧情 犯罪 悬疑,https://movie.douban.com/subject/1291879/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg
终结者2：审判日,8.7,262118,少见的超越首部的续集，动作片中的经典。,1991,美国 法国,动作 科幻,https://movie.douban.com/subject/1291844/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
初恋这件小事,8.4,785006,黑小鸭速效美白记。,2010,泰国,剧情 喜剧 爱情,https://movie.douban.com/subject/4739952/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg
可可西里,8.8,218039,坚硬的信仰。,2004,中国大陆 中国香港,剧情 犯罪,https://movie.douban.com/subject/1308857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414772322.jpg
2001太空漫游,8.8,211177,现代科幻电影的开山之作，最伟大导演的最伟大影片。,1968,英国 美国,科幻 惊悚 冒险,https://movie.douban.com/subject/1292226/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg
魂断蓝桥,8.8,207250,中国式内在的美国电影。,1940,美国,剧情 爱情 战争,https://movie.douban.com/subject/1293964/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg
海洋,9.1,132709,大海啊，不全是水。,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,https://movie.douban.com/subject/3443389/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2173334947.jpg
城市之光,9.3,94643,永远的小人物，伟大的卓别林。,1931,美国,喜剧 剧情 爱情,https://movie.douban.com/subject/1293908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
牯岭街少年杀人事件,8.8,192097,弱者送给弱者的一刀。,1991,中国台湾,剧情 犯罪,https://movie.douban.com/subject/1292329/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg
燃情岁月,8.8,220952,传奇，不是每个人都可以拥有。,1994,美国,剧情 爱情 战争 西部,https://movie.douban.com/subject/1295865/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg
色，戒,8.5,506969,假戏真情，爱欲深海,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,https://movie.douban.com/subject/1828115/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg
穿越时空的少女,8.6,303977,爱上未来的你。 ,2006,日本,剧情 爱情 科幻 动画,https://movie.douban.com/subject/1937946/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2079334409.jpg
新龙门客栈,8.6,329587,嬉笑怒骂，调风动月。,1992,中国香港 中国大陆,动作 爱情 武侠 古装,https://movie.douban.com/subject/1292287/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg
